;Coluna1;Coluna2;Coluna3
145;Camshaft Journal Diameters;"2.3990-2.4001"" (60.932-60.962 MM)";
146;;""" CAUTION CHECK CAM DRIVE PIN FOR WEAR """;
147;Total Length;;
148;Journal Oil Clearance;;
149;Cam End Play;".002-.004"" (.050-.114 MM)";
150;Lifter Type;"ROLLER, .0389-.0394"" (.989-1.0MM), MAX .0354"" (.9MM) *";
151;Lifter Diameter;;
152;Camshaft Gear Bolt Torque;GEAR 173 FT/LBS, THRUST PLATE 19 FT/LBS;
153;Comments;* SEE DIAGRAMS FOR ROLLER CHECKING PROCEDURE;
154;;;
155;Auxiliary Journal Oil Clearance;;
156;Auxiliary Journal Diameters;;
157;Timing Gear Lash;;
158;;;
159;Lobe lift;".2863"" (7.273 MM)";".2326"" (5.907 MM)"
160;"Duration at 0.050""";;
161;Center Line;;
162;"Valve Event Timing Marks at .050  """;;
163;;;
164;Lobe Separation;;
165;Base Circle New;;
166;Base Circle Min;;
167;;;
168;Intake Manifold;15 FT/LBS BOLTS AND NUTS;
169;Exhaust Manifold;25 FT/LBS, SHIELDS 71 INCH/LBS;
170;Flywheel;58 FT/LBS, +60°, +60°;
171;Flywheel Bolt Sealer;;
172;Flywheel Surfacing;;
173;Damper;278 FT/LBS W/OIL ON THREADS AND HUB;
174;Damper Bolt Sealer;;
175;Main Bearing Cap;72, 97 FT/LBS +30°, --- SIDE BOLTS 58 FT/LBS;
176;Additional Main Cap Bolts;;
177;Connecting Rod;47 FT/LBS, +30°, +30°;
178;Cylinder Head;* M12 BOLTS 37/ 59 FT/LBS, + 60°+60°, M8 BOLTS 18 ft/lbs;
179;Camshaft Cap Torque;;
180;Camshaft Gear Bolt;GEAR 173 FT/LBS, THRUST PLATE 19 FT/LBS;
181;Comments;;
182;;;
183;FLYWHEEL HOUSING;BLACK CIRCLE MARK: 72 FT/LBS, BLACK TRIANGLE MARK: 37#;
184;VALVE ADJUSTING SCREW NUT;16 FT/LBS, UPPER VALVE COVER 71 INCH/LBS TWICE;
185;ROCKER SHAFT BRACKET;30 FT/LBS, VALVE LIFTER GUIDE 97 INCH/LBS;
186;OIL PRESSURE RELIEF 30 FT/LBS;"CRANKSHAFT RELUCTOR 71 IN/LBS, LOC PIN HT .177-.217""";
187;OIL PUMP PIPE, SCREEN 18 FT/LBS;CRANKSHAFT POSITION SENSOR 89 IN/LBS;
188;INJECTOR HOLD DOWN 36 FT/LBS;CAMSHAFT POSITION RELUCTOR 80 IN/LBS;
189;CAMSHAFT THRUST PLATE 19 FT/LBS;INJECTOR SPILL LINE 108 IN/LBS;
190;PISTON OIL COOLER JET 15 FT/LBS;VALVE LIFTER HOLD DOWN 97 IN/LBS;
191;;;
192;Idle Speed (rpm);600;
193;Compression Ratio;17.5:1, CRANKING COMPRESSION 300 PSI;
194;Firing Order;1-2-7-8-4-5-6-3;
195;Spark Plug Gap;* TURBO BOOST @ PEAK TORQUE 18 PSI *;
196;Ignition Timing;;
197;Oil Pressure At Idle;14 PSI. HOT;
198;Oil Pressure;42 PSI. @ 1800 RPM;
199;Intake Valve Lash;".012"" COLD";
200;Exhaust Valve Lash;".012"" COLD (.300 MM)";
201;Lash Adjustment Method;;
202;Comments;;
203;;;
204;Minimum Thickness;;
205;Chamber Volume (cc);;
206;Surface Finish;;
207;OHC Camshaft Bore Diameter;;
208;Injector Tip Protrusion;;
209;Lifter Bore Diameter;;
210;;;
211;Crankshaft The crankshaft is steel forged with nitride heat treatment. Nitride heat treatment has the following main customer features: High Strength, Longer Life, Higher Wear Resistance, Higher Seizure Resistance. Conventional practice in crankshaft manufacturing is induction hardening. lsuzu has been a pioneer in nitride heat treatment. All crankshafts used on DURAMAX engines are sent through this process. While nitride heat treatment may cost a little more to implement during the initial manufacturing, the overall life cycle costs have been reduced. Every crankshaft is individually and dynamically balanced to help eliminate vibration. This extra care during the manufacturing process provides for better durability and longer crankshaft life. The crankshaft and flywheel are designed to maintain excellent engine balance, while helping to create the engine's more package-efficient size. The flywheel is not just a simple disc. It has counterweights on the outside that reduce the weight required inside the crankshaft. This more efficient packaging helps to provide additional space for the new charge air cooler located in front of the water radiator. The charge air cooler is used to lower emissions.;;
212;;;
213;;;
214;Upload PDF  File Type : pdf.  Caption* Procedures : 0;Upload PDF  File Type : pdf.  Caption* Procedures : 0;
215;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
216;;;
217;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
