;Coluna1;Coluna2;Coluna3
184;BALANCE SHAFT HOUSING;16 FT/LBS, +90º, STIFFENING CRANKCASE ASMB-BLOCK 24#;
185;VVT CAMSHAFT TIMING SPROCKET;40 FT/LBS;
186;;;
187;Idle Speed (rpm);A/T 610-710 RPM, M/T 650-750 RPM;
188;Compression Ratio;142-198 PSI;
189;Firing Order;1-3-4-2;
190;Spark Plug Gap;;
191;Ignition Timing;5-15º BTDC-DISCONNECTED;
192;Oil Pressure At Idle;4.3 PSI MIN;
193;Oil Pressure;36-71 PSI @ 3000 RPM;
194;Intake Valve Lash;".008-.011"" C *";
195;Exhaust Valve Lash;".012-.016"" COLD (.305-.406 MM) *";
196;Lash Adjustment Method;;
197;Comments;;
198;;;
199;Minimum Thickness;;
200;Chamber Volume (cc);;
201;Surface Finish;;
202;OHC Camshaft Bore Diameter;;
203;Injector Tip Protrusion;;
204;Lifter Bore Diameter;;
205;;;
206;"This engine bends valves if the valve timing is interupted.  BALANCE SHAFT THRUST CLEANANCE OR END PLAY .0020-.0035"" (.050-.090 MM) MAX .0035"" (.090 MM),BALANCE SHAFT BEARING CLEARANCE .0002-.0012"" (.004-.031 MM)";;
207;;;
208;;;
209;Upload PDF  File Type : pdf.  Caption* Procedures : 0;Upload PDF  File Type : pdf.  Caption* Procedures : 0;
210;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
211;;;
212;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
