;Coluna1;Coluna2;Coluna3
105;Stroke;"5.0000"" (127. MM)";
106;Cylinder Bore;"4.1338-4.1358"" (104.999-105.049 MM)";
107;Comments;;
108;;;
109;Rod Journal Diameter;"2.7551-2.7567"" (69.98-70.02 MM)";
110;Journal Width;;
111;Fillet Radius;;
112;Oil Clearance;".0021-.0061"" (.053-.155 MM)";
113;;;
114;Pos.  1;"#1 3.5425-3.5441"" (89.98-90.02 MM)";
115;Pos.  2;;
116;Pos.  3;;
117;Pos.  4;;
118;Pos.  5;;
119;Pos.  6;;
120;Oil Clearance;".0028-.0068"" (.071-.173 MM)";
121;End Play;".0030-.0094"" (.076-.239 MM)";
122;Fillet Radius;;
123;Thrust Width;"1.494-1.498"" (37.948-38.049)";
124;Rear Seal Diameter;;
125;Front Seal Diameter;;
126;Pulley Diameter;;
127;Gear Diameter;;
128;Hardness;;
129;Journal Finish;;
130;Balance;;
131;;;
132;Big End Housing Bore;"2.9523-2.9533"" (74.988-75.014 MM)";
133;Beam Length;;
134;Big End Width;;
135;Big End Side Clearance;;
136;Connecting Rod Torque;35-45 FT/LBS, + 55-65° CONVENTIONAL ROD *;
137;Bolt Diameter;;
138;Small End Bore For Bushing;"1.6999-1.7009"" (43.178-43.204 MM)";
139;Small End Bore Finished ID;"1.5759-1.5762"" (40.027-40.036 MM)";
140;Small End Oil Clearance;".002"" (.051 MM) MAX";
141;Center To Center Distance;"7.8710-7.877"" (200.624-200.736 MM)";
142;Twist/Bend;".012 / .003"" (.300 / .080 MM)";
143;Comments;* FRACTURED ROD TORQUE 48-56 FT/LBS, 115-125º;
144;;;
145;Camshaft Journal Diameters;"ALL 2.5635-2.5645"" (65.113-65.138 MM)";
146;Total Length;;
147;Journal Oil Clearance;;
148;Cam End Play;".0040-.0100*"" (.102-.254 MM)";
149;Lifter Type;S;
150;Lifter Diameter;;
151;Camshaft Gear Bolt Torque;NONE USED;
152;Comments;"INJECTOR LOBE LIFT .3832"" * THRUST PLATE THICKNESS .182-.184""";
153;;;
154;Auxiliary Journal Oil Clearance;;
155;Auxiliary Journal Diameters;;
156;Timing Gear Lash;;
157;;;
158;Lobe lift;0.3655;0.3655
159;"Duration at 0.050""";;
160;Center Line;;
161;"Valve Event Timing Marks at .050  """;;
162;;;
163;Lobe Separation;;
164;Base Circle New;;
165;Base Circle Min;;
166;;;
167;Intake Manifold;10-20 FT/LBS;
168;Exhaust Manifold;29-37 FT/LBS;
169;Flywheel;79-101 FT/LBS;
170;Flywheel Bolt Sealer;YES;
171;Flywheel Surfacing;"FLAT, 1.3910"" MIN FROM CRANK SHAFT FLANGE";
172;Damper;;
173;Damper Bolt Sealer;;
174;Main Bearing Cap;"35-45# + 90° USE MOLY LUBE CAP WIDTH 6.2982-6.2998""";
175;Additional Main Cap Bolts;;
176;Connecting Rod;35-45 FT/LBS, + 55-65° CONVENTIONAL ROD *;
177;Cylinder Head;SEE TB 1574;
178;Camshaft Cap Torque;;
179;Camshaft Gear Bolt;NONE USED;
180;Comments;* FRACTURED ROD TORQUE 48-56 FT/LBS, 115-125º;
181;;;
182;ROCKER ARM LOCKNUT;13-23 FT/LBS;
183;;;
184;Idle Speed (rpm);;
185;Compression Ratio;16.5:2 RATIO;
186;Firing Order;1-5-3-6-2-4;
187;Spark Plug Gap;;
188;Ignition Timing;;
189;Oil Pressure At Idle;;
190;Oil Pressure;88 PSI MAX;
191;Intake Valve Lash;".015"" COLD";
192;Exhaust Valve Lash;".025"" COLD (.635 MM)";
193;Lash Adjustment Method;;
194;Comments;;
195;;;
196;Minimum Thickness;;
197;Chamber Volume (cc);;
198;Surface Finish;;
199;OHC Camshaft Bore Diameter;;
200;Injector Tip Protrusion;;
201;Lifter Bore Diameter;;
202;;;
203;;;
204;;;
205;Upload PDF  File Type : pdf.  Caption* Procedures : 0;Upload PDF  File Type : pdf.  Caption* Procedures : 0;
206;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
207;;;
208;Upload PDF  File Type : pdf.  Caption*;Procedures : 0;
